Year,Make,Model,Trim,Type,Price,Mileage,Accidents,Owners,Usage,car_url,Miles_threshold
2021,Mazda,CX-5,Touring,SUV,21999.0,16550.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM9M0332324/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,21991.0,31691.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM7M0402578/?radius=25,45000
2020,Mazda,CX-5,Grand Touring,SUV,23899.0,26657.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBDMXL1841572/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,22100.0,36068.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM0M1332142/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22128.0,37350.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM3M0472630/?radius=25,45000
2021,Mazda,CX-5,Sport,SUV,21495.0,28353.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM3M0415202/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,24998.0,23867.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM8M1462699/?radius=25,45000
2021,Mazda,CX-5,Carbon Edition,SUV,25998.0,12036.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM1M0400082/?radius=25,45000
2020,Mazda,CX-5,Grand Touring Reserve,SUV,22224.0,59046.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2020/vin/JM3KFBAY2L0753113/?radius=25,60000
2021,Mazda,CX-5,Touring,SUV,25998.0,22039.0,0,1,Personal use only,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM3M1306442/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,22628.0,29424.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCM6M0373882/?radius=25,45000
2021,Mazda,CX-5,Touring,SUV,21595.0,37858.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBCMXM0377661/?radius=25,45000
2021,Mazda,CX-5,Grand Touring,SUV,23999.0,40997.0,0,1,Personal use,https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBDM6M0302373/?radius=25,45000
