Year,Make,Model,Trim,Doors,Type,price,Mileage,Accidents,Owners,Usage,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Certified Pre-Owned,Listed since,car_url
2018,Honda,CR-V,EX-L,4dr,SUV,22333.0,42821.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-01-06,https://www.edmunds.com/honda/cr-v/2018/vin/2HKRW2H86JH697707/?radius=25
2021,Honda,CR-V,EX-L,4dr,SUV,28011.0,6351.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-24,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H82MH665728/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,16400.0,70999.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2019/vin/2HKRW6H39KH220945/?radius=25
2021,Honda,CR-V,LX,4dr,SUV,19400.0,42597.0,1,2,Corporate fleet vehicle,Clean Title,No,No,No,No,No,2024-01-25,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H22MH632787/?radius=25
2021,Honda,CR-V,Touring,4dr,SUV,27989.0,23237.0,2,1,Personal use,Clean Title,No,No,No,No,Yes,2024-03-23,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H94MH668476/?radius=25
2021,Honda,CR-V,EX,4dr,SUV,23995.0,26449.0,2,1,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H59MH644087/?radius=25
2020,Honda,CR-V,LX,4dr,SUV,20999.0,43365.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-23,https://www.edmunds.com/honda/cr-v/2020/vin/2HKRW2H27LH653116/?radius=25
2014,Honda,CR-V,LX,4dr,SUV,10199.0,140414.0,0,4,Personal use,Clean Title,No,No,No,No,No,,https://www.edmunds.com/honda/cr-v/2014/vin/2HKRM4H33EH709274/?radius=25
2019,Honda,CR-V,LX,4dr,SUV,16200.0,58994.0,Insurance,3,Personal use,Title issue reported,No,No,Yes,No,No,2024-03-22,https://www.edmunds.com/honda/cr-v/2019/vin/5J6RW5H36KL001182/?radius=25
2019,Honda,CR-V,EX-L,4dr,SUV,24759.0,31211.0,0,1,Personal use,Clean Title,No,No,No,No,No,2024-02-26,https://www.edmunds.com/honda/cr-v/2019/vin/7FARW2H87KE030794/?radius=25
