year_make_model,trim_style,price,url,mileage,accidents_owners_usage,Accident Free Vehicle,Personal Use Only,History Provider,Title Details,Salvage Vehicle,Frame Damage,Theft History,Lemon Status,Free History Report,VIN,Stock,Certified Pre-Owned,Listed since
Certified 2022 Mazda CX-5,2.5 S Select 4dr SUV,"$23,104",https://www.edmunds.com/mazda/cx-5/2022/vin/JM3KFBBM5N0527792/?radius=25,"20,170 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBBM5N0527792,M33718,Yes,04-02-2024
2023 Toyota RAV4,Adventure 4dr SUV,"$30,885",https://www.edmunds.com/toyota/rav4/2023/vin/2T3J1RFV7PW364589/?radius=25,"24,796 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3J1RFV7PW364589,EU931,No,03-22-2024
Certified 2022 Honda Pilot,TrailSport 4dr SUV,"$34,999",https://www.edmunds.com/honda/pilot/2022/vin/5FNYF6H88NB033657/?radius=25,"20,856 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H88NB033657,35097,Yes,04-13-2024
Certified 2021 Toyota RAV4,LE 4dr SUV,"$25,797",https://www.edmunds.com/toyota/rav4/2021/vin/2T3F1RFV7MC220964/?radius=25,"22,782 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2T3F1RFV7MC220964,HU13033L,Yes,03-29-2024
Certified 2023 Honda Pilot,Elite 4dr SUV,"$47,588",https://www.edmunds.com/honda/pilot/2023/vin/5FNYG1H81PB034507/?radius=25,"9,899 miles","No accidents, 1 Owner, Personal use only",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYG1H81PB034507,HHPB034507U,Yes,04-11-2024
Certified 2021 Honda Pilot,SE 4dr SUV,"$31,888",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H29MB078634/?radius=25,"19,890 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H29MB078634,HHMB078634U,Yes,04-11-2024
Certified 2022 Honda CR-V,Special Edition 4dr SUV,"$25,888",https://www.edmunds.com/honda/cr-v/2022/vin/2HKRW2H79NH605714/?radius=25,"22,141 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRW2H79NH605714,NH605714,Yes,03-07-2024
Certified 2021 Honda Pilot,EX-L 4dr SUV,"$29,995",https://www.edmunds.com/honda/pilot/2021/vin/5FNYF6H55MB075059/?radius=25,"25,530 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,5FNYF6H55MB075059,MB075059,Yes,03-28-2024
Certified 2021 Mazda CX-5,Sport 4dr SUV,"$20,976",https://www.edmunds.com/mazda/cx-5/2021/vin/JM3KFBBM6M0310587/?radius=25,"31,405 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,JM3KFBBM6M0310587,M33703,Yes,04-02-2024
2021 Honda CR-V,EX-L 4dr SUV,"$25,616",https://www.edmunds.com/honda/cr-v/2021/vin/2HKRW2H81MH678129/?radius=25,"19,729 miles","No accidents, 1 Owner, Personal use",Yes,Yes,AutoCheck,Clean Title,No,No,No,No,No,2HKRW2H81MH678129,MH678129S,No,
Certified 2021 Honda CR-V,EX 4dr SUV,"$25,469",https://www.edmunds.com/honda/cr-v/2021/vin/5J6RW2H54MA007254/?radius=25,"25,645 miles","No accidents, 2 Owners, Corporate fleet vehicle",Yes,No,AutoCheck,Clean Title,No,No,No,No,No,5J6RW2H54MA007254,MA007254,Yes,03-14-2024
